Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pageranks,Authority,Hub,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@tesla,@tesla,"<[2020-09-26T15:47:18.652Z, 2020-09-26T15:47:57.758Z, 2020-09-26T15:49:12.127Z, 2020-09-26T15:49:44.422Z, 2020-09-26T15:49:50.528Z, 2020-09-26T15:50:01.785Z, 2020-09-26T15:50:20.413Z, 2020-09-26T15:50:33.597Z, 2020-09-26T15:50:39.911Z, 2020-09-26T15:51:32.845Z, 2020-09-26T15:52:43.309Z, 2020-09-26T15:53:06.618Z, 2020-09-26T15:53:23.715Z, 2020-09-26T15:53:25.309Z, 2020-09-26T15:54:02.074Z, 2020-09-26T15:54:13.692Z, 2020-09-26T15:54:29.248Z, 2020-09-26T15:54:52.644Z, 2020-09-26T15:55:23.162Z, 2020-09-26T15:55:29.589Z, 2020-09-26T15:55:30.479Z]>",User,,,,,,,,,,,,,,,,,,,,,20,0,20,22,0,22,0.00478,0.036992,0,4,0,0,0,0
@gaganku24116218,@gaganku24116218,<[2020-09-26T15:47:19.386Z]>,User,,,,,,,Fri Nov 22 20:30:22 CST 2019,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,9,1,Gagankumar,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@dhruvskadam,@dhruvskadam,<[2020-09-26T15:47:21.484Z]>,User,,,,,,,Wed May 17 09:36:47 CDT 2017,,,,My life is a Kafkaesque.,,http://pbs.twimg.com/profile_images/1290725924015489025/2n_8HnvX_bigger.jpg,84,10,Dhruv Kadam,India,,,,0,3,3,0,3,3,0.000678,0,0.047822,14,2,0.625,0.7,0
@janeidyeve,@janeidyeve,"<[2020-09-26T15:47:21.484Z, 2020-09-26T15:47:29.673Z, 2020-09-26T15:47:31.996Z, 2020-09-26T15:48:08.626Z, 2020-09-26T15:48:33.313Z, 2020-09-26T15:48:40.457Z, 2020-09-26T15:48:43.263Z, 2020-09-26T15:49:01.847Z, 2020-09-26T15:49:11.118Z, 2020-09-26T15:50:08.688Z, 2020-09-26T15:50:08.689Z, 2020-09-26T15:50:15.559Z, 2020-09-26T15:50:22.003Z, 2020-09-26T15:50:30.230Z, 2020-09-26T15:52:04.491Z, 2020-09-26T15:53:54.098Z, 2020-09-26T15:53:54.099Z, 2020-09-26T15:54:05.977Z, 2020-09-26T15:54:18.676Z, 2020-09-26T15:54:24.620Z, 2020-09-26T15:54:54.737Z, 2020-09-26T15:55:15.218Z, 2020-09-26T15:55:30.069Z, 2020-09-26T15:55:35.522Z]>",User,,,,,,,Wed Nov 25 11:34:49 CST 2009,,,,"latina × writer @Tesmanian_com×
articles https://www.Tesmanian.com/search?type=article&q=Evelyn+Arevalo&submit=+ poetry http://instagram.com/evelyn_janeidy
🐎🪐",,http://pbs.twimg.com/profile_images/1308706730000429056/daFE-m-G_bigger.jpg,7073,15776,Evelyn Janeidy Arevalo,"Texas, USA",,,,39,1,40,39,19,58,0.005449,0.084583,0.040849,14,2,0.571429,0.625,4
@itslouev,@itslouev,"<[2020-09-26T15:47:21.863Z, 2020-09-26T15:52:04.971Z]>",User,,,,,,,Mon Sep 04 10:24:16 CDT 2017,,,,121016 💙 | eCommerce 👨🏻‍💻 | Go Birds 🦅,,http://pbs.twimg.com/profile_images/1307834491034050561/7uyrluEs_bigger.jpg,251,129,Louis,Phila,,,,1,4,5,1,4,5,0.000823,0.001695,0.041128,1,2,0.7,0.785714,2
@404unfx,@404unfx,<[2020-09-26T15:47:21.863Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000854,0.001695,0,1,0,0,0,0
@m__verbruggen,@m__verbruggen,<[2020-09-26T15:47:21.863Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000854,0.001695,0,1,0,0,0,0
@nzxt,@nzxt,"<[2020-09-26T15:47:21.863Z, 2020-09-26T15:52:04.971Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,3,0,3,0.000998,0.003391,0,1,0,0,0,0
@changesays,@changesays,<[2020-09-26T15:47:22.159Z]>,User,,,,,,,Fri Jun 19 02:26:05 CDT 2020,,,,"Hello!! I'm revolution. This World is Rotten. Revolution is needed every day in everyone's life to achieve 'The Dream'. No one escapes me.
Am I late or early?",,http://pbs.twimg.com/profile_images/1273888398869057536/RlEBsp6t_bigger.jpg,760,23,Revolution,,,,,0,3,3,0,3,3,0.000678,0,0.043201,22,2,0.666667,0.75,0
@ajtourville,@ajtourville,"<[2020-09-26T15:47:22.159Z, 2020-09-26T15:47:47.457Z, 2020-09-26T15:48:37.225Z, 2020-09-26T15:50:17.267Z, 2020-09-26T15:50:41.332Z, 2020-09-26T15:51:23.652Z, 2020-09-26T15:51:51.837Z, 2020-09-26T15:52:23.249Z, 2020-09-26T15:52:24.823Z, 2020-09-26T15:52:47.759Z, 2020-09-26T15:53:33.337Z, 2020-09-26T15:54:59.970Z, 2020-09-26T15:55:10.250Z, 2020-09-26T15:55:23.951Z]>",User,,,,,,,Tue Jun 13 18:51:24 CDT 2017,,,,Physics engineer here to learn about the progress of various disruptive innovations & enterprises that will likely write the next chapter of the Human race,,http://pbs.twimg.com/profile_images/1286126615928479744/gsbET0in_bigger.jpg,309,4645,ALEX 🚀,🇨🇦 🇧🇷,,,,18,2,20,19,6,25,0.051065,0.028535,0.041285,22,2,0.75,0.833333,7.5
@soulfiirst1,@soulfiirst1,<[2020-09-26T15:47:25.930Z]>,User,,,,,,,Thu Mar 09 11:30:28 CST 2017,,,,"militaire à la botte du dictateur emmanuelle maçon 
Fc hunter #AEW",,http://pbs.twimg.com/profile_images/1298245350499790848/xeqOClpB_bigger.jpg,1647,269,HTR lewilloodu22,"côtes d'Armor ",,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@uthrakc_msd,@uthrakc_msd,<[2020-09-26T15:47:29.673Z]>,User,,,,,,,Mon Nov 14 04:52:57 CST 2016,,,,"Fan girl of @msdhoni #CSK 💛 Dentist by profession 👩‍⚕️
Love Astrophysics 🔭💫 
#ARR #Suriya",,http://pbs.twimg.com/profile_images/1307337680703778816/IzfZ8Jty_bigger.jpg,366,184,Uthra KC,,,,,0,3,3,0,3,3,0.000678,0,0.047822,14,2,0.625,0.7,0
@delarosaa5,@delarosaa5,<[2020-09-26T15:47:30.998Z]>,User,,,,,,,Wed Jul 28 08:25:58 CDT 2010,,,,5th  Grade Science Teacher,,http://pbs.twimg.com/profile_images/1257799948/eightbit-44714c5b-ebcc-4e61-b439-5eef21d25fcc_bigger.png,124,28,Andrew DeLaRosa,"Houston, Tx",,,,0,2,2,0,2,2,0.000678,0,0.040918,2,2,0.625,0.7,0
@wishlnet,@wishlnet,<[2020-09-26T15:47:30.998Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000967,0.001687,0,2,0,0,0,0
@rayhanginting,@rayhanginting,<[2020-09-26T15:47:31.996Z]>,User,,,,,,,Sun Apr 06 10:01:25 CDT 2014,,,,you know where the fuck you are?,,http://pbs.twimg.com/profile_images/1299342969800015872/G87lac0k_bigger.jpg,210,34,rehan,,,,,0,2,2,0,2,2,0.000678,0,0.044335,14,2,0.625,0.7,0
@carl_cerbito,@carl_cerbito,,User,,,,,,,Mon Apr 13 11:28:33 CDT 2015,,,,,,http://pbs.twimg.com/profile_images/1293540080913543169/0wXt8Iy1_bigger.jpg,378,398,Caaarrllllllll,,,,,0,2,2,0,2,2,0.000678,0,0.040918,14,2,0.625,0.7,0
@re_julien_,@re_julien_,<[2020-09-26T15:47:33.500Z]>,User,,,,,,,Wed Mar 30 10:41:07 CDT 2016,,,,Use immagination as a destination,,http://pbs.twimg.com/profile_images/1149958388056543232/89W9WQS8_bigger.jpg,108,15,Nicolò Giuliani,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@aggiemyszka,@aggiemyszka,<[2020-09-26T15:47:35.126Z]>,User,,,,,,,Tue Jun 18 02:19:30 CDT 2013,,,,Obsessed with working on a broken story,,http://pbs.twimg.com/profile_images/1282923757502377987/v4S-_dOA_bigger.jpg,156,58,Aggie M,United Kingdom,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@covigilante,@covigilante,<[2020-09-26T15:47:35.938Z]>,User,,,,,,,Wed Jan 13 12:23:48 CST 2010,,,,Everything must go!,,http://pbs.twimg.com/profile_images/1282782123267469312/lf7YLUhF_bigger.jpg,892,335,C͓̽O͓̽R͓̽V͓̽I͓̽D͓̽1͓̽9͓̽ 🏴,,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@scruffyoldape,@scruffyoldape,"<[2020-09-26T15:47:36.018Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:55:17.487Z]>",User,,,,,,,Wed Apr 22 01:50:30 CDT 2009,,,,Mostly harmless.,,http://pbs.twimg.com/profile_images/735510128150118400/EFIqNLXG_bigger.jpg,1742,1104,Dave Day,Stansted Mountfitchet,,,,1,7,8,2,12,14,0.000772,0.001716,0.041627,3,2,0.769231,0.85,0
@ghalloglaigh,@ghalloglaigh,"<[2020-09-26T15:47:36.018Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:55:17.487Z]>",User,,,,,,,Sun Aug 26 14:11:32 CDT 2018,,,,"Truth in all things. Debate in all things. Science and fact over unproven beliefs. Qat if real I like as a God. Cats darts and football
Pronouns: meow/meow/meow",,http://pbs.twimg.com/profile_images/1034888193739563009/1YLYeVJ0_bigger.jpg,231,151,Piarais Mac Ghallóglaigh Antitheist 🏳‍🌈,Northumberland. England.,,,,1,7,8,2,12,14,0.000772,0.001716,0.041627,3,2,0.769231,0.85,0
@wild_mar23,@wild_mar23,"<[2020-09-26T15:47:36.018Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:55:17.487Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,4,0,4,0.000866,0.003432,0,3,0,0,0,0
@pbderbysatheist,@pbderbysatheist,"<[2020-09-26T15:47:36.018Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:55:17.487Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,4,0,4,0.000866,0.003432,0,3,0,0,0,0
@guzzii__,@guzzii__,"<[2020-09-26T15:47:36.018Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:55:17.487Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,4,0,4,0.000866,0.003432,0,3,0,0,0,0
@stpinkie,@stpinkie,<[2020-09-26T15:47:36.024Z]>,User,,,,,,,Sat Jun 20 06:01:33 CDT 2009,,,,"Associate Trainer at #KiniAcademy, Journalist at @KiniTV, Chief of Project @SEAPonyCon & Founder of @CER_Music. PfP by @YouDieDonkey. #TetapBangga",,http://pbs.twimg.com/profile_images/1308288808375316486/rsGdshoh_bigger.jpg,4393,1726,Daniel 'St. Pinkie' Anthony,"Petaling Jaya, Malaysia",,,,0,3,3,0,3,3,0.000678,0,0.047677,14,2,0.625,0.7,0
